timestep,env_id,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
6,0,1.524033546447754,0.7417430877685547,2.489727020263672,-1.9152876138687134,1.1025009155273438,-2.958212375640869,11.437522888183594,-0.7020523548126221,-0.7771050930023193,-1.6786251068115234,2.0558395385742188,-0.13766956329345703
6,1,-3.6098556518554688,-2.4918060302734375,15.082239151000977,-1.518233299255371,-4.819387435913086,1.4034709930419922,4.7601213455200195,-3.037446975708008,0.9710941314697266,-5.709993362426758,23.700000762939453,-6.868114471435547
7,0,1.1389942169189453,7.529921531677246,-9.659696578979492,-0.4263780117034912,2.881216049194336,-2.6453542709350586,0.589874267578125,0.700194239616394,-1.9993062019348145,0.2262110710144043,1.327244758605957,0.3882002830505371
7,1,2.0610439777374268,7.643362522125244,-8.028164863586426,-1.5112791061401367,3.215083122253418,-23.700000762939453,11.903390884399414,5.3354387283325195,-0.5817699432373047,-3.480846881866455,2.39469575881958,0.8691995739936829
8,0,2.0934581756591797,1.4319086074829102,-1.4727325439453125,-3.8329720497131348,-15.668102264404297,1.0512199401855469,-13.69784164428711,8.05931282043457,-4.382143974304199,-1.9097108840942383,-4.533781051635742,2.2968063354492188
8,1,0.48699474334716797,-1.9651482105255127,-0.1798822581768036,-1.4111957550048828,-2.7058658599853516,-23.700000762939453,-9.700960159301758,0.4535799026489258,-2.5716147422790527,6.725156307220459,-1.0279998779296875,0.07162141799926758
9,0,-0.3052480220794678,0.9961520433425903,-1.096426010131836,0.7917978763580322,5.059719562530518,7.082309722900391,6.312350749969482,-3.4081788063049316,0.750962495803833,1.5533885955810547,2.9164605140686035,-2.3930749893188477
9,1,-3.1718316078186035,3.567901134490967,-0.6916055679321289,0.006178379058837891,5.383074760437012,-17.995594024658203,2.858297824859619,-2.9155807495117188,1.4118800163269043,17.3580379486084,2.438375473022461,-2.833108901977539
10,0,-1.366037368774414,0.8867583274841309,1.8334221839904785,0.25374698638916016,1.2361011505126953,-1.6341781616210938,-3.9337501525878906,-4.91642951965332,1.0258705615997314,-0.06275498867034912,-2.2679085731506348,-4.309456825256348
10,1,0.9792666435241699,-4.350696086883545,1.4889521598815918,-2.3576388359069824,2.151364326477051,-20.804641723632812,-0.988771915435791,1.7537431716918945,-0.5592159032821655,8.276677131652832,-1.0063244104385376,-1.8244187831878662
11,0,1.4441829919815063,-2.9509835243225098,1.9841256141662598,1.3888931274414062,-3.522334098815918,-2.7205095291137695,3.8333804607391357,0.10803699493408203,0.5714540481567383,-0.43108701705932617,0.616016149520874,-1.1190199851989746
11,1,2.1004180908203125,-1.1027636528015137,0.566572904586792,-1.5233688354492188,-0.9613580703735352,2.7977042198181152,-1.1938400268554688,3.2826433181762695,-0.3605771064758301,-1.0430665016174316,-1.3610693216323853,-0.46636295318603516
12,0,-0.7373542785644531,1.4587697982788086,2.584820508956909,0.011912822723388672,-3.119297981262207,-1.2593693733215332,-1.6940909624099731,7.769520282745361,-0.21268177032470703,0.8742537498474121,-1.431457757949829,3.5216221809387207
12,1,-0.2724340260028839,1.1418781280517578,0.46437501907348633,-0.7820415496826172,-2.940019130706787,-1.6614031791687012,2.4424595832824707,4.260381698608398,-0.5857773423194885,-1.6699485778808594,-1.7507076263427734,0.49239110946655273
13,0,-0.09205436706542969,2.0915095806121826,-2.131340503692627,0.42579686641693115,-1.182894229888916,-2.334437847137451,1.5213279724121094,0.5413587093353271,-0.33344510197639465,0.12488269805908203,-0.1344141960144043,1.2573628425598145
13,1,-0.3087477684020996,1.4166204929351807,-1.714439868927002,0.7781176567077637,-0.6554007530212402,-4.476205825805664,2.064347743988037,2.545200824737549,-1.4703845977783203,-0.7022523880004883,-0.7701177597045898,0.9233542680740356
14,0,2.0699357986450195,1.9223051071166992,-9.740517616271973,0.42596006393432617,1.6014784574508667,-0.22606801986694336,-4.426292419433594,0.39971375465393066,-0.5413665771484375,0.19188189506530762,8.952019691467285,-0.9980039596557617
14,1,1.46010160446167,-0.9244232177734375,-1.267116665840149,-0.6370985507965088,-0.1231917142868042,3.464003086090088,-2.4872007369995117,1.134906530380249,-2.0255165100097656,-1.4593582153320312,-0.3327658176422119,-1.1350326538085938
15,0,2.075117826461792,0.112338125705719,-7.055747032165527,5.700691223144531,0.13087081909179688,-1.5297009944915771,6.007604598999023,1.503122329711914,-0.6283537149429321,-0.4914149045944214,6.258652210235596,8.753808975219727
15,1,-1.1908912658691406,-1.3882484436035156,1.648404598236084,-3.149700403213501,-0.053913116455078125,1.5143485069274902,-1.3593963384628296,1.6614058017730713,3.291813611984253,-0.43698883056640625,-0.7137727737426758,7.50895881652832
16,0,-0.05657792091369629,1.979777455329895,-8.6496000289917,7.804133415222168,-0.9262657165527344,6.527961254119873,7.3172807693481445,8.668238639831543,-0.1657504439353943,6.804750442504883,10.195649147033691,17.895477294921875
16,1,3.7983105182647705,2.534975528717041,-3.7469518184661865,-10.503128051757812,2.909838914871216,-2.265069007873535,5.57342529296875,-4.791059970855713,1.159623622894287,-1.1083804368972778,5.611448764801025,8.860359191894531
17,0,0.25227832794189453,5.635156631469727,-13.406961441040039,8.280425071716309,-1.0527312755584717,7.0413055419921875,9.204758644104004,9.04373836517334,-1.0280258655548096,8.892916679382324,15.683186531066895,15.293357849121094
17,1,6.139915466308594,0.985855221748352,-2.08848237991333,-3.1202707290649414,13.031825065612793,2.58917236328125,4.457655429840088,4.114704132080078,14.499832153320312,0.8462477922439575,13.486315727233887,17.92739486694336
18,0,-2.9336512088775635,8.101055145263672,-15.900830268859863,9.111175537109375,-3.8210103511810303,7.091235160827637,9.54247760772705,7.161606788635254,12.377939224243164,9.773677825927734,14.833526611328125,14.250761032104492
18,1,3.998356580734253,3.163785696029663,-4.344046592712402,6.4838972091674805,3.2036995887756348,0.08535867929458618,3.300873279571533,5.600337982177734,7.942848205566406,7.293797969818115,9.588085174560547,11.112547874450684
19,0,1.8634477853775024,5.538102149963379,-18.45899200439453,7.629117965698242,4.437650680541992,5.854357719421387,8.412168502807617,6.108758926391602,9.974928855895996,8.98308277130127,14.319461822509766,23.700000762939453
19,1,-1.7531541585922241,-0.8677513599395752,-6.724437713623047,10.433982849121094,7.617304801940918,0.5527117252349854,3.266120433807373,1.3902688026428223,8.794519424438477,12.47011661529541,8.783782005310059,13.487337112426758
20,0,1.3002572059631348,6.338629245758057,-19.129453659057617,9.926417350769043,0.5669458508491516,4.148679733276367,5.365278720855713,5.753085136413574,9.90433406829834,7.509760856628418,14.741554260253906,19.510305404663086
20,1,-5.589383125305176,0.19785350561141968,-6.612391471862793,11.835042953491211,2.8178563117980957,3.730379581451416,-0.04459047317504883,-1.9662976264953613,7.066445827484131,12.659772872924805,3.6103007793426514,9.906695365905762
21,0,-0.4787336587905884,3.9213948249816895,-15.157490730285645,10.79858112335205,-0.687500536441803,4.974457740783691,4.10515022277832,8.641977310180664,8.242469787597656,6.476970195770264,12.26574993133545,18.740196228027344
21,1,-5.710776329040527,1.559148907661438,-7.807213306427002,11.728974342346191,4.827489852905273,3.6431031227111816,0.3944056034088135,-4.701100826263428,6.8832902908325195,11.73430061340332,2.345635175704956,5.853918075561523
22,0,0.41369494795799255,2.4239635467529297,-13.93130111694336,10.646944999694824,-0.8496499061584473,3.9066214561462402,3.8019378185272217,8.395648002624512,6.222293853759766,5.131333827972412,10.503937721252441,17.722835540771484
22,1,-5.68794059753418,0.7805065512657166,-6.614346027374268,11.72274398803711,4.994579792022705,3.2138309478759766,0.4428447484970093,-4.432452201843262,6.323770523071289,11.51087474822998,2.198601484298706,3.4220800399780273
23,0,0.7118854522705078,2.5555808544158936,-13.44150161743164,9.971282005310059,-1.2338371276855469,3.0442893505096436,4.489497661590576,7.933533668518066,5.271002769470215,4.129827499389648,9.89719295501709,15.124920845031738
23,1,-5.266002655029297,0.7042869925498962,-5.72707986831665,10.206917762756348,4.9987006187438965,2.5310139656066895,0.6721347570419312,-3.95884370803833,6.334494113922119,10.826054573059082,2.4279961585998535,2.8097331523895264
24,0,0.4467162787914276,2.238241195678711,-12.266470909118652,9.656432151794434,-1.3988819122314453,2.61657977104187,4.921212196350098,8.560240745544434,5.102021217346191,3.5287868976593018,8.983891487121582,13.497517585754395
24,1,-4.718064785003662,1.1941826343536377,-4.5798020362854,8.284496307373047,4.251173496246338,1.8544083833694458,0.9020822048187256,-3.3001327514648438,6.4838480949401855,9.975845336914062,2.8115763664245605,2.418064832687378
25,0,0.262906014919281,2.124049425125122,-11.764812469482422,9.349763870239258,-1.6816474199295044,2.199115753173828,5.318014621734619,8.55562973022461,4.680014610290527,3.102349281311035,8.38907527923584,12.248412132263184
25,1,-4.244172096252441,1.4581258296966553,-3.4425878524780273,6.64527702331543,3.4864442348480225,1.087166666984558,0.8816013932228088,-2.9180803298950195,6.673648357391357,9.288610458374023,3.094975709915161,2.1015677452087402
